title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,5,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Slovakia,top200,MOVE_DOWN,3256
All I Want for Christmas Is You,95,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Spain,top200,MOVE_UP,33765
All I Want for Christmas Is You,3,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Sweden,top200,MOVE_UP,183604
All I Want for Christmas Is You,45,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Switzerland,top200,MOVE_DOWN,14747
All I Want for Christmas Is You,108,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Taiwan,top200,MOVE_UP,4541
All I Want for Christmas Is You,79,2017-11-04,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,MOVE_UP,1252
All I Want for Christmas Is You,175,2017-11-04,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Ireland,top200,NEW_ENTRY,3680
All I Want for Christmas Is You,88,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Thailand,top200,MOVE_UP,2047
All I Want for Christmas Is You,1,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United Kingdom,top200,MOVE_UP,490039
All I Want for Christmas Is You,157,2017-12-01,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,United Kingdom,top200,NEW_ENTRY,59383
All I Want for Christmas Is You,15,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,MOVE_UP,787650
All I Want for Christmas Is You,21,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Australia,top200,MOVE_UP,107294
All I Want for Christmas Is You,3,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Austria,top200,MOVE_UP,21192
All I Want for Christmas Is You,8,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Belgium,top200,MOVE_UP,27068
All I Want for Christmas Is You,6,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Canada,top200,MOVE_UP,115735
All I Want for Christmas Is You,167,2017-12-02,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Canada,top200,NEW_ENTRY,25803
All I Want for Christmas Is You,198,2017-11-04,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Netherlands,top200,NEW_ENTRY,18186
All I Want for Christmas Is You,200,2017-11-04,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,MOVE_DOWN,10432
All I Want for Christmas Is You,147,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Costa Rica,top200,MOVE_UP,2718
All I Want for Christmas Is You,1,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Czech Republic,top200,MOVE_UP,12148
All I Want for Christmas Is You,2,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,MOVE_UP,103228
All I Want for Christmas Is You,101,2017-12-02,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Denmark,top200,MOVE_UP,19440
All I Want for Christmas Is You,127,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Dominican Republic,top200,MOVE_DOWN,1373
All I Want for Christmas Is You,20,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Finland,top200,MOVE_UP,39158
