Position;Track_Name;Artist;Streams;URL
129;Jingle Bell Rock;Bobby Helms;52478;https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
130;Aroma;JC el Diamante;51114;https://open.spotify.com/track/0DXyt12jEwnGnON25W1Gp1
131;De Perreo;Marlon;51062;https://open.spotify.com/track/7Men0McTVqAHxfVrRCzb41
132;It's Beginning to Look a Lot like Christmas;Michael Bublé;50870;https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
133;Demasiadas Mujeres;C. Tangana;50840;https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
134;Hawái;Maluma;49701;https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
135;Me Fije;Alex Rose;49238;https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
136;love nwantiti (feat. Dj Yo! & AX'EL) - Remix;CKay;49228;https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
137;Don't Be Shy;Tiësto;49072;https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
138;Hecha Pa' Mi;Boza;49030;https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
139;TOP 5;Duki;48686;https://open.spotify.com/track/7JZ5mOTea5T4LH0UdwCsWx
140;Fiel - Remix;Wisin;48653;https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
141;Emojis de Corazones (feat. Los Legendarios);Wisin;48220;https://open.spotify.com/track/5Mw46yRtdiOdjqSG0eDItr
142;Mañana;Álvaro De Luna;47904;https://open.spotify.com/track/0WiTdooUusNY56jyeToaVA
143;YaMeFui;Bizarrap;47713;https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij
144;Histéricos;Leiva;47538;https://open.spotify.com/track/0b7VF2YIpjMOtcTh2NAPX7
145;Cosa Guapa;Rauw Alejandro;47261;https://open.spotify.com/track/5o9NxjgOMpdGDYswuNv7yu
146;Toxic;BoyWithUke;47259;https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
147;Soldadito marinero;Fito y Fitipaldis;46994;https://open.spotify.com/track/0eVborSuxUeSg0meWYd9dZ
148;Blinding Lights;The Weeknd;46975;https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
149;Explícito;Myke Towers;46679;https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
150;Santa Tell Me;Ariana Grande;46141;https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
151;Mamichula - con Nicki Nicole;Trueno;46063;https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y
152;BEBÉ;Camilo;46003;https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
153;Woman;Doja Cat;45778;https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
154;My Universe;Coldplay;45752;https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
155;North Carolina;Anuel AA;45750;https://open.spotify.com/track/0B1J4Mm4oRVMqoy6RM9vIM
156;Canción Bonita;Carlos Vives;45097;https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0
157;Princesas;Pereza;44891;https://open.spotify.com/track/3hlWUNjAlbZ6nOjAbrivBv
158;Tattoo - Remix with Camilo;Rauw Alejandro;44583;https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
159;Fiebre (Prod. King DouDou);Bad Gyal;44463;https://open.spotify.com/track/5xtxxuIqInrLDSfjA6Co3o
160;KESI;Camilo;44452;https://open.spotify.com/track/42lpuSQmnLUM1ZXJVzIVOi
161;Color Caramelo;Beny Jr;44167;https://open.spotify.com/track/0tqOrNifmUgu2xgbKesHk3
162;#RapSinCorte L;Foyone;44158;https://open.spotify.com/track/5ZaPIvSXtTxrj8yXnUx0wd
