Position;Track_Name;Artist;Streams;URL
94;Do They Know It's Christmas? - 1984 Version;Band Aid;7905102;https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
95;Sobrio;Maluma;7829559;https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
96;2055;Sleepy Hallow;7807809;https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
97;Cúrame;Rauw Alejandro;7774254;https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
98;Already Dead;Juice WRLD;7725486;https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
99;The Feels;TWICE;7723877;https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
100;Don't Start Now;Dua Lipa;7645695;https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
101;Esqueça-Me Se For Capaz;Marília Mendonça;7638966;https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
102;Merry Christmas Everyone;Shakin' Stevens;7549251;https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
103;I WANNA BE YOUR SLAVE;Måneskin;7329575;https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
104;Ley Seca;Jhay Cortez;7258947;https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
105;To Be Loved;Adele;7254392;https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
106;Infinity;Jaymes Young;7225110;https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
107;Believer;Imagine Dragons;7167780;https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108;lovely (with Khalid);Billie Eilish;7124077;https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
109;Get Into It (Yuh);Doja Cat;7092133;https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
110;OUT OUT (feat. Charli XCX & Saweetie);Joel Corry;7070751;https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
111;Tacones Rojos;Sebastian Yatra;7046234;https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
112;Bar;TINI;7045670;https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
113;Mood (feat. iann dior);24kGoldn;7020252;https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
114;Qué Más Pues?;J Balvin;6807313;https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
115;Cry Your Heart Out;Adele;6789174;https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
116;family ties (with Kendrick Lamar);Baby Keem;6732615;https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
117;Freaks;Surf Curse;6714751;https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
118;Dandelions;Ruth B.;6677071;https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
119;GHOST TOWN;Benson Boone;6665266;https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
120;Medallo;Blessd;6657951;https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
121;Another Love;Tom Odell;6651138;https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
122;happier;Olivia Rodrigo;6649795;https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
123;Happier Than Ever - Edit;Billie Eilish;6644152;https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
124;Fair Trade (with Travis Scott);Drake;6633989;https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
125;Súbelo;Anuel AA;6629453;https://open.spotify.com/track/3xv8JksRyqHa1lwkM9xvJf
126;Vai Lá Em Casa Hoje;George Henrique & Rodrigo;6625558;https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
127;Heather;Conan Gray;6618768;https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
128;Acapulco;Jason Derulo;6603069;https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
129;I AM WOMAN;Emmy Meli;6601467;https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
130;The Motto;Tiësto;6539215;https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
131;Strangers By Nature;Adele;6524483;https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
132;Sky;Playboi Carti;6523610;https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
133;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6500915;https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
134;Before You Go;Lewis Capaldi;6496813;https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
135;Step Into Christmas;Elton John;6487694;https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
136;Bored;Billie Eilish;6455752;https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
137;Someone Like You;Adele;6444733;https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
138;positions;Ariana Grande;6424530;https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
139;Permission to Dance;BTS;6417368;https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
140;Perfect;Ed Sheeran;6389351;https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
141;SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK);DJ Snake;6341371;https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy
142;Take My Breath;The Weeknd;6332753;https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
143;Todo Mundo Menos Você;Marília Mendonça;6331079;https://open.spotify.com/track/053zWWZDziDJd3U94x8RuP
144;Astronaut In The Ocean;Masked Wolf;6280200;https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
145;Circles;Post Malone;6212561;https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
146;Dance Monkey;Tones And I;6199302;https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
147;Presepada;Marília Mendonça;6183477;https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp
148;All Too Well (Taylor's Version);Taylor Swift;6181177;https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu
149;AM Remix;Nio Garcia;6175938;https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
150;Notion;The Rare Occasions;6132446;https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
151;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como;6124034;https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
152;Arranhão - Ao Vivo;Henrique & Juliano;6118135;https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
153;The Business;Tiësto;6097082;https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
154;Yellow;Coldplay;6025926;https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
155;Daddy Issues;The Neighbourhood;6025080;https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
156;Shape of You;Ed Sheeran;6014879;https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
157;Índigo;Camilo;6009650;https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
158;Shallow;Lady Gaga;5991962;https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
159;Hold On;Adele;5983651;https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
160;Lucid Dreams;Juice WRLD;5981892;https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
161;RAPSTAR;Polo G;5978244;https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
162;Take Me To Church;Hozier;5946024;https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
163;GALOPA;PEDRO SAMPAIO;5940363;https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J
164;Ameaça;Paulo Pires;5930526;https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP
165;When We Were Young;Adele;5928997;https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
166;Bohemian Rhapsody - Remastered 2011;Queen;5903399;https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
167;All Night Parking (with Erroll Garner) Interlude;Adele;5860213;https://open.spotify.com/track/496vIKS2INz840xZaKncvR
168;In Da Getto;J Balvin;5841743;https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
169;you broke me first;Tate McRae;5835672;https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
170;Why'd You Only Call Me When You're High?;Arctic Monkeys;5830411;https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
171;Without Me;Eminem;5829254;https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
172;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;5823725;https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
173;edamame (feat. Rich Brian);bbno$;5804321;https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
174;Falling;Harry Styles;5785269;https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
175;Heartbreak Anniversary;Giveon;5779540;https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
176;feel like shit;Tate McRae;5769218;https://open.spotify.com/track/2EBnvom1dTybtm75a3Xh1T
177;Smells Like Teen Spirit - Remastered;Nirvana;5758301;https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
178;Jugaste y Sufrí;Eslabon Armado;5722317;https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
179;Red (Taylor's Version);Taylor Swift;5702107;https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
180;All of Me;John Legend;5700848;https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
